DOI,citation,Title,"Effect Of (What makes this ""alternative grading"")",,,,,,"Effect On (""How are they evaluating whether the alternative grading system works"")",,,,,,Group (who is being surveyed/studied),,,,,,
,,,Binary Grading,Bucketed Grading,Mastery Learning,Resubmissions/ No late penalties,No Zeroes/ Minimum Grades,Student input on grade,Grades / Evaluation Components,"Engagement/Participation (Drop/Fail/Attendance Rates/video watch counts, etc)",Opinion/Preference (Enjoyment/ Perceptions on course/preferences/etc),Psychological Factors,Course Adminisration/Workload,Number of resubmissions/student workload,School (K-12),University/ College,Teachers/Instructors,First Year/Intro CS/ CS0/ CS1,Gender,Racial Group,Accecssibility Issues
,,,"Binary Grading is any paper where major components are graded as pass/fail or adequate/inadequate, whether they have one attempt or many","Bucketed Grading is any paper where major components are evalated into several buckets ""excellent, good, adequate, poor"" or ""mastery, competency, not yet"". So more than binary, but not on a grade scale",Mastery Learning is any paper where the final grade is calcualted based on the set of components the student has mastered or shown competency in (this is often called specifications grading or contract grading),"Any paper that involves multiple attempts at work, resubmissions, or flexible/no deadlines","Any paper that uses minimum grading (usually done as 50% but could be otherwise), where students get a non zero grade regardless of outcome","Any paper where students get significant input on their final grade calculation, this could come in the form of students actually suggesting a final grade, or arguing for particular grades, or setting weightings, etc",Anything where we evalute whether this worked by looking at the grades (in the course in question or in follow-on courses),"Anything looking at the impact of the actual class population (who shows up, how many stay, how many times they watch a video, etc) or how engaged they are in the course (do they do the readings, do sample questions etc)",Anything where they ask students how they felt/what they thought/whehther they prefer/did they enjoy/which version they would choose/etc),"Any non-affective (see previous column) evaluation of psychological factors: stress, sense of belonging, mindset, perceptions of computing in general, etc)",anything where they evaluated the amount of work it took on the part of the instructors/teaching team,anything where it evaluted the amount of work put in by students,,,,,,,
https://dl.acm.org/doi/10.5555/3512489.3512503,lam2021successful,A successful online systems class using scaffolded active learning and formative assessment,,,X,X,,,X,X,X,X,X,,,X,,,,,
https://doi.org/10.1145/1083431.1083464,shaffer2005ludwig,Ludwig: an online programming tutoring and assessment system,,,,X,,,X,,X,,,,,X,,X,,,
https://doi.org/10.1145/2157136.2157170,eagle2012learning,A learning objective focused methodology for the design and evaluation of game-based tutors,,,X,,,,,,X,,,X,,X,,,,,
https://doi.org/10.1145/2184512.2184534,young2012evaluation,Evaluation of issue-tracker's effectiveness for measuring individual performance on group projects,,X,,,,,X,,,,,,,X,,,,,
https://doi.org/10.1145/2934697,isomottonen2016flipping,Flipping and Blending—An Action Research Project on Improving a Functional Programming Course,X,,X,,,,X,X,X,,,,,X,,,,,
https://doi.org/10.1145/299649.299738,urbanlurain1999ido,“I do and I understand”: mastery model learning for a large non-major course,X,,X,,,,X,,X,,,X,,X,,X,,,
https://doi.org/10.1145/3013499.3013501,mccane2017mastery,Mastery Learning in Introductory Programming,,,X,,,,X,X,X,,,,,X,,X,,,
https://doi.org/10.1145/3159450.3159542,gestwicki2018design,Design and Evaluation of an Undergraduate Course on Software Development Practices,,X,,,,,X,,X,,,,,X,,,,,
https://doi.org/10.1145/3270112.3270118,fernandezreyes2018impact,The impact of opt-in gamification on students' grades in a software design course,,X,X,,,,X,X,X,X,X,,,X,,,,,
https://doi.org/10.1145/3287324.3287367,depontes2019analyzing,Analyzing Gamification Impact on a Mastery Learning Introductory Programming Course,,,X,,,,X,,X,X,,,,X,,X,,,
https://doi.org/10.1145/3287324.3287428,bart2019pythonsneks,"PythonSneks: An Open-Source, Instructionally-Designed Introductory Curriculum with Action-Design Research",,,X,X,,,,,X,,X,,,X,X,X,,,
https://doi.org/10.1145/3287324.3287481,campbell2019selfpaced,Self-paced Mastery Learning CS1,,,X,,,,X,X,,,X,,,X,,X,,,
https://doi.org/10.1145/3287324.3287502,weikle2019automating,Automating Systems Course Unit and Integration Testing: Experience Report,,X,,,,,X,,X,X,,,,X,,,,,
https://doi.org/10.1145/3328778.3366946,carmosino2020adaptive,Adaptive Rubrics,,X,,,,,,,,,X,,,X,X,X,,,
https://doi.org/10.1145/3328778.3366956,berns2020scored,Scored out of 10: Experiences with Binary Grading Across the Curriculum,X,,,X,,,,,X,,X,X,,X,,,,,
https://doi.org/10.1145/3372782.3406260,herman2020comparison,"Comparison of Grade Replacement and Weighted Averages
for Second-Chance Exams",,,,X,,,X,X,X,,,X,,X,,,,,
https://doi.org/10.1145/3408877.3432549,bridson2021frequent,"Frequent, Timed Coding Tests for Training and Assessment of Full-Stack Web Development Skills: An Experience Report",X,,X,X,,,X,X,X,,X,X,,X,,,X,X,
https://doi.org/10.1145/3426431.3428654,zamprogno2020nudging,Nudging student learning strategies using formative feedback in automatically graded assessments,,,X,X,,,,X,X,,,,,X,,,,,
https://doi.org/10.1145/3430665.3456321,ott2021mastery,Mastery Learning in CS1 - An Invitation to Procrastinate?: Reflecting on Six Years of Mastery Learning,,,X,X,,,X,X,X,,,X,,X,,X,,,
https://doi.org/10.1145/3502718.3524766,tuson2022mastery,Mastery Learning and Specs Grading in Discrete Math,X,,X,,,,X,,X,X,X,X,,X,,,,,
https://doi.org/10.1145/3545945.3569747,spurlock2023improving,Improving Student Motivation by Ungrading,X,X,X,X,,X,X,,X,X,,X,,X,,,,,
